1_level,2_level,3_level,4_level,5_level,sub_1,year,subCategory,winner,object,id,primaryContext,secondaryContext,primaryContextType,secondaryContextType,url,pub_date
film,festivals,Venice International Film Festival,golden lion,,,1946,,1,The Southerner,tt0038107,Jean Renoir,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1947,,1,Siréna,tt0130261,Karel Steklý,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1948,,1,Hamlet,tt0040416,Laurence Olivier,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1949,,1,Manon,tt0041634,Henri-Georges Clouzot,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1950,,1,Justice Is Done,tt0042625,André Cayatte,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1951,,1,Rashomon,tt0042876,Akira Kurosawa,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1952,,1,Forbidden Games,tt0043686,René Clément,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1954,,1,Romeo and Juliet,tt0047029,Renato Castellani,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1955,,1,Ordet,tt0048452,Carl Theodor Dreyer,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1957,,1,Aparajito,tt0048956,Satyajit Ray,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1958,,1,The Rickshaw Man,tt0051955,Hiroshi Inagaki,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1959,,1,Il Generale Della Rovere,tt0053856,Roberto Rossellini,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1959,,1,The Great War,tt0052861,Mario Monicelli,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1960,,1,Tomorrow Is My Turn,tt0054161,André Cayatte,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1961,,1,Last Year at Marienbad,tt0054632,Alain Resnais,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
film,festivals,Venice International Film Festival,golden lion,,,1962,,1,Family Portrait,tt0056966,Valerio Zurlini,,award recipient,,https://en.wikipedia.org/wiki/Golden_Lion,10/19/2023
