1_level,2_level,3_level,4_level,5_level,6_level,sub_1,object,id,rank,url,pub_date
film,rankings,Genre,Animation,AFI,,,Snow White and the Seven Dwarfs,tt0029583,1,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,Pinocchio,tt0032910,2,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,Bambi,tt0034492,3,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,The Lion King,tt0110357,4,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,Fantasia,tt0032455,5,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,Toy Story,tt0114709,6,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,Beauty and the Beast,tt0101414,7,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,Shrek,tt0126029,8,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,Cinderella,tt0042332,9,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Animation,AFI,,,Finding Nemo,tt0266543,10,https://www.afi.com/afis-10-top-10/,1/1/2008
film,rankings,Genre,Biopic,A.V. Club,,,Goodfellas,tt0099685,1,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Schindler’s List,,2,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Raging Bull,,3,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Amadeus,,4,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,The Last Emperor,,5,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Lawrence Of Arabia,,6,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Coal Miner’s Daughter,,7,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Gandhi,tt0083987,8,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Ray,,9,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Milk,,10,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Bohemian Rhapsody,,11,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Chaplin,,12,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Walk The Line,,13,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Lincoln,,14,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Biopic,A.V. Club,,,Ed Wood,tt0109707,15,https://www.avclub.com/best-biopics-of-all-time-ranked-1850653338,7/20/2023
film,rankings,Genre,Christmas,A.V. Club,,,It’s A Wonderful Life,tt0038650,1,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,1951,A Christmas Carol,,2,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,1947,Miracle On 34th Street,,3,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,A Christmas Story,,4,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,Elf,,5,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,Gremlins,,6,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,A Charlie Brown Christmas,,7,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,Home Alone,,8,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,The Shop Around The Corner,,9,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,White Christmas,,10,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,Carol,tt2402927,11,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,National Lampoon’s Christmas Vacation,,12,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,,The Nightmare Before Christmas,tt0107688,13,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
film,rankings,Genre,Christmas,A.V. Club,,1966,How The Grinch Stole Christmas,,14,https://www.avclub.com/best-christmas-movies-ranked-list-1849833615,12/6/2022
